Rank,SchoolName,Grades,District,StudentCount,FreeDiscLunch,AverageScore,Rank2016
181,San Juan Hills High,9-12,Capistrano Unified,2392,25.2,90.5,26.8
182,Sherman Oaks Center for Enriched Studies,4-12,Los Angeles Unified,2089,53.1,90.5,31.6
183,San Lorenzo Valley High,9-12,San Lorenzo Valley Unified,702,14.1,90.4,23.4
184,Pacifica High,9-12,Garden Grove Unified,1711,34.1,90.4,23.7
185,Valley Alternative Magnet,K-12,Los Angeles Unified,619,68.5,90.3,23.8
186,La Costa Canyon High,9-12,San Dieguito Union High,1894,7.9,90.3,24.9
187,Pleasant Grove High,9-12,Elk Grove Unified,2547,28.8,90.2,21.9
188,Davis School for Independent Study,K-12,Davis Joint Unified,119,18.5,90.1,14.8
189,Palos Verdes High,9-12,Palos Verdes Peninsula Unified,1716,2.2,90.1,23.8
190,Colfax High,9-12,Placer Union High,606,31.5,90,23.3
191,KIPP San Jose Collegiate,9-12,East Side Union High,484,78.1,90,24.2
192,Redlands Senior High,9-12,Redlands Unified,2351,51.4,90,24.4
193,Alameda High,9-12,Alameda Unified,1718,18.2,89.9,22
194,Granada Hills Charter High,9-12,Los Angeles Unified,4480,53.0,89.9,27.1
195,Branham High,9-12,Campbell Union High,1514,11.8,89.9,23.6
196,Washington High,9-12,Fremont Unified,1822,29.2,89.9,23.6
197,San Gabriel High,9-12,Alhambra Unified,2253,78.3,89.8,27.8
198,Clayton Valley Charter High,9-12,Contra Costa County Office Of Education,1984,17.8,89.8,25.7
199,KIPP King Collegiate High,9-12,San Lorenzo Unified,559,68.7,89.7,25.4
200,Clovis West High,9-12,Clovis Unified,2095,42.4,89.7,21.5
201,Del Lago Academy - Campus of Applied Science,9-12,Escondido Union High,682,53.5,89.7,24.3
202,El Camino High,9-12,Ventura Unified,290,22.1,89.6,72.5
203,San Luis Obispo High,9-12,San Luis Coastal Unified,1395,27.0,89.6,21.4
204,Clovis High,9-12,Clovis Unified,2939,47.3,89.6,21.9
205,Valley View Charter Prep,K-12,New Jerusalem Elementary,360,27.2,89.6,27.6
206,Tamiscal High (Alternative),9-12,Tamalpais Union High,117,6.8,89.6,14.6
207,Willits Charter,6-12,Willits Unified,125,74.4,89.6,20.8
208,Gabrielino High,9-12,San Gabriel Unified,1813,53.8,89.5,25.1
209,San Diego International Studies,9-12,San Diego Unified,995,55.9,89.4,24.8
210,Francisco Bravo Medical Magnet High,9-12,Los Angeles Unified,1847,80.8,89.4,26.3
211,Galileo High,9-12,San Francisco Unified,1890,76.4,89.4,19.4
212,Samueli Academy,9-12,Orange County Department Of Education,376,72.1,89.4,18.8
213,El Dorado High,9-12,Placentia-Yorba Linda Unified,1910,20.7,89.3,25.8
214,Malibu High,6-12,Santa Monica-Malibu Unified,1106,11.6,89.3,20.4
215,High Technical High,9-12,San Diego Unified,583,40.8,89.3,20.1
216,Laguna Hills High,9-12,Saddleback Valley Unified,1608,29.0,89.3,25.5
217,Orcutt Academy Charter,K-12,Orcutt Union Elementary,761,25.9,89.3,24.5
218,Maria Carrillo High,9-12,Santa Rosa High,1603,16.8,89.3,23.9
219,Newbury Park High,9-12,Conejo Valley Unified,2511,15.2,89.1,25.6
220,Elise P. Buckingham Charter Magnet High,9-12,Vacaville Unified,454,15.4,89.1,22.7
221,Lincoln (Abraham) High,9-12,San Francisco Unified,2046,51.8,89.1,21.3
222,West Hills High,9-12,Grossmont Union High,1942,45.8,89,27.3
223,University Preparatory High,9-12,Tulare County Office Of Education,245,39.6,88.9,27.2
224,Dublin High,9-12,Dublin Unified,2273,9.1,88.8,22.5
225,Hillsdale High,9-12,San Mateo Union High,1375,11.9,88.8,19
226,Analy High,9-12,West Sonoma County Union High,1273,16.2,88.7,21.9
227,Santiago High,9-12,Corona-Norco Unified,3580,25.8,88.7,25.5
228,Scotts Valley High,9-12,Scotts Valley Unified,841,10.5,88.5,23.3
229,Marina High,9-12,Huntington Beach Union High,2408,18.7,88.5,26.1
230,Templeton High,9-12,Templeton Unified,742,9.6,88.5,21.2
231,Claremont High,9-12,Claremont Unified,2359,32.4,88.4,25.6
232,Glen A. Wilson High,9-12,Hacienda La Puente Unified,1594,54.5,88.4,26.1
233,Carlsbad Seaside Academy,9-12,Carlsbad Unified,40,7.5,88.4,20
234,Heritage High,9-12,Liberty Union High,2561,14.9,88.3,24.1
235,Eastlake High,9-12,Sweetwater Union High,3113,19.2,88.2,28
236,Connections Visual and Performing Arts Academy,7-12,Summerville Union High,227,25.6,88.2,227
237,Bella Vista High,9-12,San Juan Unified,2065,24.3,88.2,25.8
238,Santa Teresa High,9-12,East Side Union High,2227,20.9,88.2,23.9
239,Silver Creek High,9-12,East Side Union High,2458,41.7,88.2,24
240,Design Technical High,9-12,San Mateo Union High,260,15.4,88.1,28.8
241,John F. Kennedy High,9-12,Anaheim Union High,2433,45.4,88,28.9
242,Summit Public School: Tahoma,9-12,Santa Clara County Office Of Education,275,48.7,87.9,21.1
243,Petaluma High,9-12,Petaluma Joint Union High,1354,31.2,87.9,21.8
244,Gateway High,9-12,San Francisco Unified,482,39.8,87.9,17.8
245,Palisades Charter High,9-12,Los Angeles Unified,2970,29.6,87.8,23.9
246,Village Academy High School at Indian Hill,9-12,Pomona Unified,325,89.2,87.8,20.3
247,Helix High,9-12,Grossmont Union High,2475,60.9,87.8,26
248,Granada High,9-12,Livermore Valley Joint Unified,2059,15.1,87.8,22.8
249,Wallenberg (Raoul) Traditional High,9-12,San Francisco Unified,636,60.5,87.7,21.2
250,South High,9-12,Torrance Unified,2110,16.1,87.7,23.1
251,Pleasant Valley High,9-12,Chico Unified,1816,32.9,87.6,23.2
252,Nuview Bridge Early College High,9-12,Nuview Union,600,68.3,87.6,30
253,Kearny College Connections,9-12,San Diego Unified,401,68.3,87.5,23.5
254,EDUHSD Virtual Academy at Shenandoah,9-12,El Dorado Union High,91,6.6,87.5,22.7
255,Calabasas High,9-12,Las Virgenes Unified,1903,8.4,87.5,26.4
256,Valencia High,9-12,Placentia-Yorba Linda Unified,2797,55.0,87.4,26.6
257,Rancho Cucamonga High,9-12,Chaffey Joint Union High,3444,42.6,87.4,27.3
258,Parkview,K-12,Placentia-Yorba Linda Unified,221,7.7,87.4,36.8
259,Canyon High,9-12,William S. Hart Union High,2327,22.0,87.3,25.8
260,Westminster High,9-12,Huntington Beach Union High,2622,77.9,87.1,25.4
261,College Park High,9-12,Mt. Diablo Unified,2013,21.6,87.1,23.9
262,Washington (George) High,9-12,San Francisco Unified,2054,62.2,87.1,20.7
263,Ernest S. McBride Senior High,9-12,Long Beach Unified,565,39.8,87,24.5
264,Mission Viejo High,9-12,Saddleback Valley Unified,2407,19.2,87,25.3
265,Castro Valley High,9-12,Castro Valley Unified,2917,20.3,86.9,24.5
266,John A. Rowland High,9-12,Rowland Unified,2221,53.3,86.9,26.7
267,Grove,7-12,Redlands Unified,214,18.2,86.8,19.4
268,Benicia High,9-12,Benicia Unified,1664,17.9,86.8,21.8
269,California Preparatory Academy,9-12,Capistrano Unified,176,9.1,86.8,44
270,Dana Hills High,9-12,Capistrano Unified,2679,21.5,86.8,27.3
271,Mountain Valley Academy,K-12,Ramona City Unified,213,9.9,86.8,26.6
272,San Diego SCPA,6-12,San Diego Unified,1422,56.4,86.7,24.1
