Rank (of 5692),School,Grades,District,# Students,"Student/
                            Teacher Ratio","Free/Disc Lunch
                            Recipients",Average Standard Score (2017),Rank (2016)
3097,Victoria Elementary,K-5,Redlands Unified,525,23.8,91.1 %,40.1,2640
3098,T. L. Whitehead Elementary,K-6,Woodland Joint Unified,440,24.4,83.4 %,40,2937
3099,Edward Fitzgerald Elementary,K-5,Rialto Unified,443,27.6,70.2 %,40,3056
3100,Fallbrook Street Elementary,K-6,Fallbrook Union Elementary,528,24,82.0 %,40,3734
3101,Richmond Charter Elementary-Benito Juarez,K-5,West Contra Costa Unified,405,28.9,86.9 %,40,
3102,Oak Valley Elementary,K-8,Oak Valley Union Elementary,558,21.4,77.1 %,40,3905
3103,Short Elementary,K-4,San Rafael City Elementary,215,21.5,84.7 %,40,2760
3104,Will Rogers Elementary,K-5,Ventura Unified,520,22.6,65.4 %,40,2846
3105,Loretta Lampton Elementary,K-5,Norwalk-La Mirada Unified,680,28.3,74.4 %,40,2856
3106,Mt. Woodson Elementary,K-6,Ramona City Unified,507,29.8,49.3 %,39.9,2032
3107,Community Collaborative Charter,K-12,Acton-Agua Dulce Unified,"1,427",16.4,32.9 %,39.9,
3108,Riverview Elementary,K-6,Corona-Norco Unified,283,25.7,48.4 %,39.9,2888
3109,Butte Valley Elementary,K-8,Butte Valley Unified,206,20.6,77.7 %,39.9,2852
3110,Shiloh Charter,K-8,Shiloh Elementary,116,23.2,77.6 %,39.9,4435
3111,Longfellow (Henry W.) Elementary,K-5,Pasadena Unified,527,22.9,82.5 %,39.9,2331
3112,Burbank Boulevard Elementary,K-5,Los Angeles Unified,379,23.6,78.9 %,39.9,2092
3113,Arthur E. Mills Intermediate,3-5,Firebaugh-Las Deltas Unified,483,30.1,91.9 %,39.9,3893
3114,Stratford Elementary,K-8,Central Union Elementary,276,17.2,84.4 %,39.9,3939
3115,Raymond Elementary,K-6,Fullerton Elementary,476,29.7,59.5 %,39.9,2460
3116,Sinclear Elementary,K-6,Ceres Unified,672,26.8,79.3 %,39.9,3039
3117,Ramona Elementary,K-6,Bellflower Unified,610,25.4,83.4 %,39.8,3471
3118,Tomales Elementary,K-8,Shoreline Unified,177,17.7,56.5 %,39.8,2730
3119,De Anza Elementary,K-5,San Jacinto Unified,621,25.8,81.3 %,39.8,3731
3120,Jefferson Elementary,K-5,Kings Canyon Joint Unified,419,29.9,93.6 %,39.7,3271
3121,Lark Ellen Elementary,K-5,Covina-Valley Unified,379,22.2,80.5 %,39.7,2999
3122,Alpine Elementary,1-5,Alpine Union Elementary,326,23.2,37.4 %,39.7,2157
3123,Lakeside,K-8,Lakeside Union,567,19.5,65.8 %,39.7,4061
3124,Bella Vista Elementary,K-5,Montebello Unified,605,27.5,83.6 %,39.7,3552
3125,Joe Serna Junior Charter,K-8,Lodi Unified,332,20.7,68.1 %,39.7,3057
3126,Bautista Creek Elementary,K-5,Hemet Unified,898,24.2,72.6 %,39.7,2633
3127,Catskill Avenue Elementary,K-5,Los Angeles Unified,572,23.8,87.8 %,39.6,3769
3128,Lake Don Pedro Elementary,K-8,Mariposa County Unified,167,18.5,62.3 %,39.6,3670
3129,Belvedere Elementary,K-6,San Bernardino City Unified,657,27.3,79.2 %,39.6,3685
3130,Montalvin Manor Elementary,K-6,West Contra Costa Unified,437,24.2,85.6 %,39.6,3036
3131,Agnes J. Johnson Elementary,K-6,Southern Humboldt Joint Unified,80,20,51.3 %,39.6,2163
3132,Sultana Elementary,K-6,Ontario-Montclair,782,22.3,86.3 %,39.6,3832
3133,Ronald E. McNair Elementary,K-8,Compton Unified,507,23,80.5 %,39.6,4552
3134,Hazel Strauch Elementary,K-5,Twin Rivers Unified,605,27.5,87.4 %,39.6,3176
3135,Crestview Elementary,K-6,Simi Valley Unified,355,27.3,46.5 %,39.5,3790
3136,Barbara Comstock Morse Elementary,K-6,Elk Grove Unified,716,18.8,81.8 %,39.5,2610
3137,Murphy Elementary,K-6,West Contra Costa Unified,514,22.3,66.7 %,39.5,4205
3138,Rocky Hill Elementary,K-5,Exeter Unified,610,24.4,72.5 %,39.5,2594
3139,George Washington Elementary,K-6,Hanford Elementary,517,22.4,79.3 %,39.5,3000
3140,Redwood Elementary,K-6,Fontana Unified,544,24.7,90.1 %,39.4,3315
3141,Ezekiel Balderas Elementary,K-6,Fresno Unified,659,23.5,95.8 %,39.4,3644
3142,Harmony Elementary,K-6,Delhi Unified,623,21.4,77.4 %,39.4,2632
3143,Camino Nuevo Charter Academy #4,K-8,Los Angeles Unified,629,20.2,90.8 %,39.3,2487
3144,Gerald A. Smith Elementary,K-6,Colton Joint Unified,707,23.5,94.1 %,39.3,3621
3145,John Stallings Elementary,K-6,Corona-Norco Unified,596,25.9,77.2 %,39.3,3231
3146,Mineral King Elementary,K-6,Visalia Unified,660,27.5,70.0 %,39.3,3313
3147,Coral Mountain Academy,K-6,Coachella Valley Unified,953,23.8,89.3 %,39.3,3389
3148,Seventh Street Elementary,K-5,Los Angeles Unified,508,23,55.9 %,39.3,3597
3149,Lorena Falasco Elementary,K-6,Los Banos Unified,874,30.1,88.1 %,39.3,3165
3150,Wilton Place Elementary,K-5,Los Angeles Unified,721,22.5,81.0 %,39.3,3017
3151,Thomas P. Ryan Elementary,K-5,Alum Rock Union Elementary,418,24.5,84.7 %,39.3,3916
3152,Orangewood Elementary,K-5,West Covina Unified,528,24,80.1 %,39.3,3226
3153,Samuel Vaughn Elementary,K-6,Ceres Unified,637,25.4,76.5 %,39.2,2706
3154,Frank Zeek Elementary,K-6,Ukiah Unified,480,25.2,70.8 %,39.2,3003
3155,Esperanza Elementary,K-6,Westside Union Elementary,"1,091",27.9,43.1 %,39.2,2474
3156,Rivera Elementary,K-5,El Rancho Unified,681,27.2,73.1 %,39.2,3244
3157,Valley Home Elementary,K-8,Valley Home Joint Elementary,147,21,51.7 %,39.2,3344
3158,Webster (Daniel) Elementary,K-5,San Francisco Unified,273,17,52.8 %,39.2,4232
3159,El Monte Elementary,K-5,Mt. Diablo Unified,478,23.9,66.3 %,39.1,3069
3160,Earl Warren Elementary,K-5,Lake Elsinore Unified,936,25.2,62.6 %,39.1,2630
3161,Woodcrest Elementary,K-6,Riverside Unified,693,26.6,52.5 %,39.1,2802
3162,Nancy R. Kordyak Elementary,K-5,Rialto Unified,488,30.5,63.5 %,39.1,2489
3163,Harrison Elementary,K-6,Riverside Unified,532,23.1,70.1 %,39.1,2603
3164,Orange Grove Elementary,K-5,Whittier City Elementary,391,27.9,81.3 %,39.1,3356
3165,Lois E. Borchardt Elementary,K-6,Lodi Unified,841,24,77.5 %,39,3517
3166,Cogswell Elementary,K-6,Mountain View Elementary,491,24.5,92.1 %,39,3109
3167,Rosemary Kennedy Elementary,K-5,Alvord Unified,546,24.8,82.6 %,39,3083
3168,Highgrove Elementary,K-6,Riverside Unified,699,25.8,90.7 %,39,2739
3169,Janie P. Abbott Elementary,K-6,Lynwood Unified,730,26,92.3 %,39,4030
3170,Richman Elementary,K-6,Fullerton Elementary,769,29.5,84.8 %,39,2991
3171,Parkside Elementary,K-6,San Mateo-Foster City,404,22.4,35.9 %,39,2673
3172,Sycamore Academy of Science and Cultural Arts,K-8,Lake Elsinore Unified,493,23.4,34.7 %,39,2784
3173,Junction K-8,K-8,Livermore Valley Joint Unified,836,20.9,63.0 %,38.9,2742
3174,Lincrest Elementary,K-5,Yuba City Unified,743,23.9,61.5 %,38.9,3070
3175,Whitman Elementary,K-6,San Diego Unified,217,19.7,74.7 %,38.9,3174
3176,Sierra Vista Elementary,K-6,Corona-Norco Unified,464,23.2,47.6 %,38.9,2600
3177,William Green Elementary,K-5,Lawndale Elementary,765,24.6,79.7 %,38.9,2800
3178,Mountain View Elementary,K-5,Mt. Diablo Unified,459,24.1,45.3 %,38.9,3562
3179,Lindo Park Elementary,K-5,Lakeside Union Elementary,545,22.7,76.7 %,38.9,3693
3180,Lankershim Elementary,K-5,Los Angeles Unified,472,23.6,84.8 %,38.9,3175
3181,Downtown Value,K-8,Los Angeles Unified,455,28.4,71.2 %,38.8,3637
3182,McKinley,K-8,Pasadena Unified,965,25.3,65.3 %,38.8,3724
3183,Witter Ranch Elementary,K-5,Natomas Unified,823,25.7,53.5 %,38.8,2771
3184,Valle Verde Elementary,K-5,Greenfield Union,995,24.8,88.1 %,38.8,3945
3185,Cienega Elementary,K-5,Los Angeles Unified,644,23,90.8 %,38.8,3325
3186,San Altos Elementary,K-6,Lemon Grove,414,24.3,69.8 %,38.8,3613
3187,Tremont Elementary,K-6,Dixon Unified,598,27.1,45.0 %,38.7,3028
3188,Shirley Avenue Elementary,K-5,Los Angeles Unified,535,22.2,84.9 %,38.7,2518
3189,Hamilton Meadow Park,K-8,Novato Unified,661,20.6,66.9 %,38.7,1884
3190,Rainbow Ridge Elementary,K-5,Val Verde Unified,853,25,84.2 %,38.7,3704
3191,Casa de Oro Elementary,K-6,La Mesa-Spring Valley,367,26.2,73.8 %,38.7,3440
3192,Lockwood Avenue Elementary,K-6,Los Angeles Unified,456,25.3,90.1 %,38.7,3622
3193,Roosevelt Elementary,K-8,Redwood City Elementary,651,25,58.8 %,38.7,3310
3194,Harriet Tubman Village Charter,K-8,San Diego Unified,402,22.3,89.3 %,38.7,2612
3195,Olivewood,K-6,National Elementary,648,24.9,79.5 %,38.6,3559
3196,Shadow Hills Elementary,K-5,Fontana Unified,489,25.7,87.3 %,38.6,3185
3197,William Howard Taft Elementary,K-6,Riverside Unified,730,26,74.8 %,38.6,2949
3198,Lyndale Elementary,K-5,Alum Rock Union Elementary,427,21.3,94.2 %,38.6,3800
3199,Treeview Elementary,K-6,Hayward Unified,507,25.3,68.6 %,38.6,3363
3200,Lupine Hills Elementary,K-5,West Contra Costa Unified,383,23.9,38.1 %,38.6,3276
3201,Bear Gulch Elementary,K-5,Central Elementary,534,25.4,68.5 %,38.6,2512
3202,Visions In Education,K-12,San Juan Unified,"5,338",30.8,49.2 %,38.5,2769
3203,Rose Avenue Elementary,K-6,Modesto City Elementary,541,23.5,68.4 %,38.5,3135
3204,De Anza Elementary,K-6,Baldwin Park Unified,529,23,92.4 %,38.5,3706
3205,Moreno Elementary,K-5,Moreno Valley Unified,530,24,79.4 %,38.5,3569
3206,Fred Ekstrand Elementary,K-5,Bonita Unified,475,25,59.2 %,38.5,2746
3207,Moffett Elementary,K-5,Lennox,843,21.6,94.4 %,38.4,3726
3208,America's Finest Charter,K-8,San Diego Unified,277,18.4,96.0 %,38.4,2635
3209,Leonardo da Vinci Health Sciences Charter,K-6,Chula Vista Elementary,327,20.4,54.7 %,38.4,3462
3210,Florence Avenue Elementary,K-6,Los Angeles Unified,748,23.3,92.1 %,38.4,3468
3211,Emerson Elementary,K-6,Riverside Unified,792,24.7,80.1 %,38.4,3741
3212,Connecting Waters Charter,K-12,Waterford Unified,"2,100",22.5,44.1 %,38.4,2873
3213,Westmont Elementary,K-6,Pomona Unified,360,27.6,90.3 %,38.4,3201
3214,Clifford D. Murray Elementary,K-5,Azusa Unified,458,22.9,91.1 %,38.4,3537
3215,Del Valle Elementary,K-6,Hacienda La Puente Unified,405,23.8,94.6 %,38.4,2976
3216,F. D. Roosevelt Elementary,K-5,Lawndale Elementary,625,23.1,88.0 %,38.3,2561
3217,Forestville Academy,2-8,Forestville Union Elementary,265,17.6,44.9 %,38.3,2153
3218,San Lauren Elementary,K-6,Beardsley Elementary,407,23.9,64.4 %,38.3,2896
3219,Santa Rosa Road Academic Academy,K-5,Atascadero Unified,347,26.6,61.7 %,38.3,3593
3220,Bessie E. Owens Intermediate,4-6,Bakersfield City,597,23.8,83.4 %,38.3,2765
3221,Ulysses Grant Elementary,K-6,Colton Joint Unified,689,23.7,88.0 %,38.3,3560
3222,Bobbie Smith Elementary,K-5,Long Beach Unified,837,25.3,94.0 %,38.2,3715
3223,Grant Elementary,K-5,San Lorenzo Unified,417,24.5,64.5 %,38.2,2768
3224,Los Angeles Elementary,K-5,Los Angeles Unified,752,24.2,89.5 %,38.2,3295
3225,Lake Marie Elementary,K-6,South Whittier Elementary,242,20.1,86.4 %,38.2,3805
3226,Vintage Parkway Elementary,K-5,Oakley Union Elementary,523,24.9,45.3 %,38.2,2592
3227,York,K-5,Hawthorne,608,24.3,90.1 %,38.2,3178
3228,Donald J. Meyer Elementary,K-5,Alum Rock Union Elementary,522,22.6,88.9 %,38.2,4487
3229,Hurley Elementary,K-6,Rowland Unified,570,23.7,92.3 %,38.2,3794
3230,Kellogg Polytechnic Elementary,K-6,Pomona Unified,400,25,87.5 %,38.1,3680
3231,Mendota Elementary,K-6,Mendota Unified,799,24.2,94.9 %,38.1,
3232,A. L. Conner Elementary,K-5,Kings Canyon Joint Unified,328,25.2,94.5 %,38.1,4398
3233,Kingsley Elementary,K-6,Ontario-Montclair,732,24.4,93.9 %,38.1,3890
3234,Margaret G. Scotten Elementary,K-4,Grass Valley Elementary,487,21.1,73.3 %,38.1,2747
3235,Newcastle Elementary,K-5,Los Angeles Unified,432,24,85.4 %,38.1,2285
3236,Walter Woodward Elementary,K-8,Manteca Unified,880,26.6,34.7 %,38.1,3624
3237,Hollydale,K-8,Paramount Unified,"1,077",24.4,90.1 %,38.1,3195
3238,Los Berros Visual And Performing Arts Academy,K-6,Lompoc Unified,426,19.3,58.2 %,38.1,3064
3239,Laurelglen Elementary,K-6,Panama-Buena Vista Union,610,27.7,58.2 %,38,3379
3240,Chollas/Mead Elementary,K-5,San Diego Unified,628,23.2,95.5 %,38,2737
3241,Washington Elementary,K-8,Lindsay Unified,701,24.1,86.0 %,38,3671
3242,Hudnall (Claude) Elementary,K-6,Inglewood Unified,371,23.1,71.2 %,38,3821
3243,Merritt Trace Elementary,K-5,San Jose Unified,966,27.6,56.4 %,38,3203
3244,O. W. Erlewine Elementary,K-6,Sacramento City Unified,331,23.6,66.8 %,37.9,3508
3245,Douglas J. Miller Elementary,K-6,Panama-Buena Vista Union,941,28.5,69.3 %,37.9,3117
3246,Wilson Elementary,K-5,San Leandro Unified,714,27.4,69.6 %,37.9,3530
3247,Nevada City School of the Arts,K-8,Nevada County Office Of Education,407,20.3,50.4 %,37.9,2939
3248,Vaughn Next Century Learning Center,K-12,Los Angeles Unified,"2,831",21.9,97.9 %,37.9,2923
3249,Manzanita Seed Elementary,K-5,Oakland Unified,439,23.1,76.1 %,37.9,4492
3250,Palma Ceia Elementary,K-6,Hayward Unified,591,24.6,79.0 %,37.9,3391
3251,Franklin (Benjamin) Elementary,K-6,Anaheim Elementary,858,26.8,79.6 %,37.8,3399
3252,Bella Vista Elementary,K-5,Oakland Unified,462,24.3,86.4 %,37.8,3316
3253,B. Gale Wilson Elementary,K-8,Fairfield-Suisun Unified,808,25.2,49.0 %,37.8,3045
3254,River Montessori Elementary Charter,K-6,Old Adobe Union,162,23.1,24.1 %,37.8,
3255,Magnolia Elementary,K-6,Oakdale Joint Unified,632,22.5,56.7 %,37.8,3027
3256,Highland Elementary,K-6,West Contra Costa Unified,484,25.4,88.2 %,37.7,2851
3257,Keyes Elementary,K-5,Keyes Union,523,24.9,92.2 %,37.7,3712
3258,Sylmar Leadership Academy,K-8,Los Angeles Unified,905,22.6,82.2 %,37.7,2844
3259,Ross Elementary,K-5,San Diego Unified,261,20,91.2 %,37.7,3097
3260,Diablo Vista Elementary,K-5,Antioch Unified,499,26.2,60.5 %,37.7,3266
3261,Endeavor College Preparatory Charter,K-8,Los Angeles Unified,612,17.4,95.3 %,37.7,
3262,Frank Ledesma Elementary,K-6,Soledad Unified,596,25.9,77.9 %,37.7,2972
3263,Beech Avenue Elementary,K-6,Fontana Unified,838,27,87.1 %,37.7,2978
3264,Gauldin Elementary,K-5,Downey Unified,631,26.2,88.3 %,37.6,3001
3265,Chaparral Elementary,K-5,Fontana Unified,393,24.5,81.2 %,37.6,3390
3266,John Bidwell Elementary,K-6,Sacramento City Unified,368,26.2,90.8 %,37.6,3189
3267,Abraham Lincoln Elementary,K-5,Desert Sands Unified,618,23.7,92.1 %,37.6,2203
3268,Ocotillo Elementary,K-6,Palmdale Elementary,"1,032",28.6,73.9 %,37.6,2585
3269,Hort Elementary,K-5,Bakersfield City,701,20.6,84.3 %,37.5,4458
3270,Plumas Avenue Elementary,K-5,Thermalito Union Elementary,291,24.2,88.0 %,37.5,4035
3271,Twentieth Street Elementary,K-5,Los Angeles Unified,600,24,97.5 %,37.5,5102
3272,Patricia Kay Beaver Elementary,K-8,Ceres Unified,179,29.8,74.3 %,37.5,
3273,Fiesta Gardens International Elementary,K-5,San Mateo-Foster City,544,24.7,44.1 %,37.5,3147
3274,Erwin Elementary,K-5,Los Angeles Unified,696,24,87.2 %,37.5,2807
3275,Westfield Elementary,K-6,Porterville Unified,666,26.6,77.2 %,37.4,3293
3276,Flowery Elementary,K-5,Sonoma Valley Unified,336,21,63.1 %,37.4,2231
3277,Bonny View Elementary,K-5,Redding Elementary,264,24,69.7 %,37.4,2926
3278,Dr. Mildred Dalton Henry Elementary,4-6,San Bernardino City Unified,405,28.9,95.8 %,37.4,3433
3279,Plumas Charter,K-12,Plumas Unified,332,20.7,64.5 %,37.4,3618
3280,Hawes Elementary,K-5,Redwood City Elementary,326,23.2,74.9 %,37.4,3243
3281,Jackson Heights Elementary,K-5,Red Bluff Union Elementary,516,23.4,82.8 %,37.4,3025
3282,Alicia Cortez Elementary,K-6,Chino Valley Unified,684,27.3,72.1 %,37.4,3476
3283,Mountain Home Charter (Alternative),K-8,Yosemite Unified,271,24.6,32.8 %,37.4,2201
3284,Lo-Inyo Elementary,K-8,Lone Pine Unified,231,17.7,58.0 %,37.3,3208
3285,Alpine Vista,K-8,Tulare City,"1,099",24.9,52.5 %,37.3,2722
3286,Webster Elementary,K-5,Long Beach Unified,602,21.5,88.0 %,37.3,3171
3287,Richfield Elementary,K-8,Richfield Elementary,241,21.9,57.3 %,37.3,1886
3288,Frazier Park Elementary,K-4,El Tejon Unified,260,20,66.2 %,37.3,2379
3289,Grace S. Thille Elementary,K-5,Santa Paula Unified,426,23.6,93.0 %,37.2,3819
3290,Grimmway Academy,K-8,Kern County Office Of Education,679,26.1,87.0 %,37.2,3047
3291,Conyer Elementary,K-6,Visalia Unified,453,28.3,77.7 %,37.2,2716
3292,Monterey Heights Elementary,K-6,Lemon Grove,463,24.3,73.9 %,37.2,3439
3293,Pacoima Charter Elementary,K-5,Los Angeles Unified,"1,350",24.1,79.1 %,37.2,3166
3294,Moreno Elementary,K-6,Ontario-Montclair,560,24.3,83.4 %,37.2,3841
3295,New Republic Elementary,K-5,Santa Rita Union Elementary,589,24.5,50.9 %,37.2,3718
3296,Black Butte Elementary,K-5,Black Butte Union Elementary,135,22.5,83.0 %,37.2,2932
3297,Summit Charter Academy,K-12,Burton Elementary,"1,775",22.4,65.6 %,37.2,3015
3298,High Technical Elementary Chula Vista,K-5,Sbc - High Technical High,400,21,47.0 %,37.2,3960
3299,One Hundred Eighteenth Street,K-5,Los Angeles Unified,640,23.7,96.1 %,37.2,3903
3300,O. B. Whaley Elementary,K-6,Evergreen Elementary,523,26.1,72.9 %,37.2,3392
3301,Van Deene Avenue Elementary,K-6,Los Angeles Unified,389,24.3,75.8 %,37.1,3124
3302,Chatsworth Park Elementary,K-5,Los Angeles Unified,347,23.1,63.1 %,37.1,2260
3303,Nichols Elementary,K-5,Oceanside Unified,704,22,56.8 %,37.1,2944
3304,Burbank Elementary,K-5,Long Beach Unified,776,25.8,88.3 %,37.1,4257
3305,Arcohe Elementary,K-8,Arcohe Union Elementary,412,20.6,57.8 %,37.1,3105
3306,Hawaiian Elementary,K-6,ABC Unified,411,24.1,97.1 %,37.1,3716
3307,Dolores Huerta Elementary,K-5,Los Angeles Unified,474,23.7,94.5 %,37.1,3815
3308,Leona Jackson,4-8,Paramount Unified,805,24.3,92.6 %,37.1,3227
3309,Dooley Elementary,K-5,Long Beach Unified,"1,092",27.3,91.1 %,37.1,3505
3310,Joseph Widmer Junior Elementary,K-8,Manteca Unified,843,27.1,58.4 %,37.1,3021
3311,Stonehurst Avenue Elementary,K-5,Los Angeles Unified,301,21.5,76.4 %,37,2399
3312,Felix J. Appleby Elementary,K-8,Palo Verde Unified,769,28.4,76.9 %,37,4408
3313,Pomona Elementary,K-6,Newport-Mesa Unified,508,25.4,91.1 %,37,3402
3314,Wakeham Elementary,K-6,Garden Grove Unified,341,28.4,80.4 %,37,4049
3315,Centerville Elementary,K-6,Sanger Unified,250,20.8,77.6 %,37,3466
3316,Webster Elementary,K-6,Fresno Unified,409,27.2,97.8 %,37,4077
3317,Fullbright Avenue Elementary,K-5,Los Angeles Unified,478,22.7,88.1 %,37,3126
3318,Del Amo Elementary,K-5,Los Angeles Unified,405,20.2,71.1 %,36.9,3901
3319,Virginia Peterson Elementary,K-5,Paso Robles Joint Unified,467,23.3,72.4 %,36.9,3477
3320,Dual Language Academy of the Monterey Peninsula,K-8,Monterey Peninsula Unified,416,20.8,67.8 %,36.8,
3321,San Pascual Elementary Sci Technical Engr Arts And Math (Steam) Magnet,K-6,Los Angeles Unified,270,22.5,80.4 %,36.8,3077
